comment
킹착에 심우준 없으면 아쉽겠다..!!! 그나저나 한화가 도루 4개나 한 거 어마어마해!!! 그리고 이재원의 도루저지도 진짜 짱 중요했다ㄷㄷ
50억이 문제가 아니라 저런초딩같이 타석에서있는걸 좋아하는 김갱문할배 고집 진짜 짜증난다 하주석 대타한번 안쓰고 솔까 지금까지 보여준 50억 수비 그정도는 프로라면 다한다 에러도 겁나게 하는데 왜 고집을 피우냐?ㅋㅋ 진정한 승자는 엄상백이랑 심우준판 KT가 진정한승자다 그리고 장진혁도 데리고감 스박
"한화 이글스는 개막전에서 원정 팀을 상대로 승리를 거둔 유일한 투수가 주장하는 불펜이 강력하다. 또한 타격과 주루도 뛰어나며, 주목받는 선수들이 플로리얼은 긴장을 푸는 것이 중요하다. 한화 이글스는 좋은 출발을 보여주고 있다."
영묵이가 왜 이렇게 믿음직스러운 모습을 보이는 건지 모르겠다. 이번에도 엄석백 선발로 나와서 훌륭한 모습을 보여줬다. 한화 이렇게 잘하는데 왜 항상 설레발칠 수밖에 없는지 정말 이해가 안 돼. 계속해서 이렇게만 잘하면 좋겠다고 생각하게 만드는구나.
조용한 공격으로도 실점 없이 지키고 꾸역꾸역 점수를 내며 이기는 경기를 펼치는 것이 강팀의 특징이다. 5월까지는 조용히 관전하겠다.
시즌 마지막 승리 ㅋㅋㅋ
"한화는 올해도 잘하면 8위
아니면 10 위 봅니다 
한화 찐팬이지만  한화는 안돼는게 딱 하나 있는데 
타격 입니다 
팀타율 최하위는 당연한거고 아마도 2할3푼정도 보네요
한점차 승부도 쉽지 않습니다 
확실한 마무리가 없어요"
곧 우디르급 태세전환 할 한화팬들이면 개추 ㅋㅋㅋ
"김태연 1번은 잘한거 같고
하주석보다가 심우준 보니 그렇게 맘이 편할 수가 
글고 투수가 너무 좋아서 
누가 나보고 10개구단 어느팀이든 감독시켜준다고 하면 바로 한화 감독함. 

문동주, 김서현, 황준서, 신인 정우주에 류현진, 엄상백까지 
근데 문동주, 김서현, 황준서, 정우주는 어깨도 싱싱해. 
해가 갈수록 기량은 발전할 유망주. ㅎㄷㄷ. 

매경기 5점정도만 내도 승률이 7할은 간다.  
그에 비해 삼성, 엔씨, 키움 같은 팀은 타자들이 7점 내도
경기 끝날 때까지 불안불안. 
그걸 144경기를 감독으로 지켜봐라? 
생각만 해도 스트레스 만땅. 
ㅉㅉㅉ."
"올해 한화는 다르다 
올라 간다"
노시환의 혼런 1점 아니였으면 진짜 큰일났었다 ㄷㄷ
시즌초는 한화지ㅋ
"뛰는 야구 실화가?
이글스가? 뛰다니"
시작부터 피튀기네 ㄷㄷㄷ
지~~~~~~~~~~~인짜 올해는 다를것인가?! 기대해봐도 되는거냐 ㅠ?
한화 이번에 야구도 우승각?
