comment
"기아는
좀 망했으면 좋겠다😊"
올해도 가즈아!!!!!!❤❤❤❤
"기아가 헌재보다 낳네,,, 기아는 정의다이"
우리 지민이 진짜 최고였뜸♡♡♡
외국인투수들 내려가고 나니까 딱 kbo수준 게임 나오는구만 ㅎㅎ
진짜  도영이 부상 을 코치 탓을 하는 사람들은  야구  팬 맞냐??? 이해 할수가 없네
🎉❤🎉❤최형우❤🎉❤🎉
기아 승~
와 네일은 마구 던짐?
"지난해 프로야구 정규리그 MVP 김도영(KIA)의 부상 상태가 심각하지 않다는 진단 결과가 나왔다.

KIA 측은 23일 ""정밀 검사 내용을 복수의 병원에 보냈고, 의료진들은 왼쪽 허벅지 뒤 근육(햄스트링) 손상 1단계로 진단했다""고 밝혔다.

햄스트링 부상은 근육 손상을 기준으로 3단계로 구분하는데, 1단계는 가장 경미한 수준이다.

김도영은 다음 달 경기 출전이 가능할 것으로 전망된다."
"티빙에서 경기 다시보기 세번째~
결과 알고 봐도 
너무 잼있음
너무너무 잼있는 경기 였음 ~"
위즈덤 🎉❤🎉❤🎉❤
"조상우 화이팅~!!!🎉
이제 시작이다.❤"
기아 미첬네
이동욱 해설 누규여 한심하게 해설하네요
김선빈은 진짜 잘 친다….
11:21 내 도파민❤
"도영아 아푸지마 ㅜㅜ 언능 돌아와 
지민아 너무잘했어 그렇게 크는거야"
기아선수들  의욕에멈처 너무  무리하지 마시고  몸관리가 우선이다  부상은 악재다   개  개인 몸관리 잘하세요
기아는  위기때 완벽한 투수를    최지민  잘했다  퇴물 조상우는 왜영입해    기아는역시 불펜이 강하다  김도영 빠른회 복  올해도 기대된다  응원 ❤❤❤
"김도영 선수 빠른 회복과 쾌유를 빕니다

기아쪽의 오랜 팬으로써 
부디 빠른 쾌유를 빕니다

영등포쪽에도 저의 기아의 팬분들 계십니다

그 분들도 모두 다 기원하고 있습니다"
김도영선수😢몸 건강히 돌아오세요🐥
5:41 실시간 내표정 ㅜㅜ
"지민이 잘 막았다 
도영이는 조심좀해라ㅠㅠ 
홍종표는 언제 나가냐??"
"네일 투수교체 타이밍 너무 빨랐다..
기세라는걸 믿고 어느정도는 쓰는게 블펜도 아끼는거다..막 바꾸지말자"
"네일 , 최지민 선수 투구 진짜 행복합니다 …"
기아의 해결사 ❤형우 최 ❤ 항상 응원합니다 ❤
맛있다 맛있어 개막전🐯
올해도 기아 우승 가즈아!!!!!!!!!!
김도영 선수 빠른 쾌차 바랍니다 ㅠㅠ
도규 상우는 제구가 스캠때도 안잡히더니 불안하네 역시나
"진짜 이래서 기아기아 하는구나.
이래서 나스타나스타 그러는구나.
이래서 최형우쳐형우 히는구나.
이러니 김선빈김선빈 한ㄷㄴ거구나.
이러니까
베테랑들 베테랑 하는거구나

그 뒤 따라가는 최지민."
네일 공은 볼때마다 신기하네
