comment
"와우, 그렇게 많은 경기가 남았네요! 계속해서 응원해주시면 좋은 결과가 있을 거예요. 파이팅! 😊👍"
12:01 스파이가 있는 것 같아
아직 무패 석권까지 143경기가 남았습니다!
롯데가 잠실에서 본사만 날린게 아니구나
휴 오늘 내가 엘지팬이라 다행이지... 롯팬이었으면 열불나 죽었을듯 수비 무슨일...
유광남의 바보짓! 슬라이더 두번 헛스윙했다고 3연속 슬라이더! 문보경을 개무시하는 볼배합! ㅎㅎㅎ
요니 치리노스 KBO 리그 첫 승 축하드립니다.
준비 열심히 했구나~사랑해 애들아~~꾸준하게 가을야구까지 부상없이 화이팅^^
"오늘은 신구의 조화가 좋았음.
고맙다 롯떼"
꼴떼역시 변화가 없구나
"송찬의 스윙 스피드가 장난이 아니네요.
거기다가 발도 빠르고 강견이라 차세대 간판이 될것으로 기대합니다.
이재원까지 돌아오면 이제 차세대 클린업이 될것으로 기대합니다."
이게 엘지지....
두팀다 팬들이 쓰레기이고 롯데는 구단주조차 한국인이 아님
ㅅㅍ 개막하라고 했지 개막하라고 했냐?
찬의 올해는 터진다! ＼(^-^)／
"문보경 오지환 김진성 역시 명불허전
우강훈 박명근 광속 사이드암 든든하고
송찬의 3안타 의심을 믿음으로 바꾸는 활약
치리노스 1선발 다운 피칭
모두가 완벽했던 경기… 사랑한다 나의 LG 다시 한 번 승리를 위해 노래부르자!"
어제 최고였어요~~ 엘지 최고^^ 오늘도 부상없이 화이팅하세요 ❤
2025 시즌 엘지트윈스는 포에버 엘지와 송찬의다
ㅋㅋㅋㅋ 유강남 쥰나 웃기네~ 진짜 엘지에서 제일 잘 나갔다고 생각하는 선수 1위임
개막전 매진+개막전 완승+새외인투수의 호투+유망주의 좋은 모습+포에버엘지 부활 그냥 모든게 다 완벽했던 경기
"우리엘지선수들,사랑스럽다!올해우승하자!화이팅"
"수비력과 주루에서의
디테일 차이."
학연 지연의 끝판왕 이었던 꼴데의 저주
꼴데 너거가 프로가?
"이야..롯데는..ㅋㅋㅋ 김태형감독이 부임하면서 젤먼저 강조한게 수비였고, 이순철해설도 롯데가 좋은성적 내려면 수비가 좋아야 한다고 그렇게 말했는데 이게 안되네 ㅋㅋㅋ"
역시 꼴떼는 기대에 부응하는군
왜 우리가 강팀인지 보여줬던 경기
롯데는 야구 접고 해체해라
2025시즌 출발 좋았다 잉!!! 올해도 함 해보자 잉!!!
우강훈 좋은디
"나 태어나서 첫 개막전이였는데, 이겨줘서 고마워 
진짜 고생했어!!! 잊지못할 명경기 메아리가 울릴정도로 큰 응원소리 음원으로만 듣던 포에버를 부활시켜 첫 개막전에 부를수 있었고!!ㅠ 나 진짜 엉엉엉 울었다ㅠㅠㅠㅠ 그리고 점수 낼때 온몸에 소름돋는 전율까지 느낄수있게 해줘서 진짜 감사해 ㅠㅠㅜ 
앞으로 계속 쭈우우우욱 포에버 응원할께!!! ❤🎉
직관으로 우승경력 오늘 포함! 6승2패 ㅜㅜ 🎉🎉🎉
치리노스 진짜 멋있어 ㅠㅠ"
오늘 선수님들이 주인공이야 사랑해
송찬의 활약여부에 따라 우승여부가 결정될것 같다
그냥 소박하게 10연승만 하고 가면 안되겠습니까? ...ㅎ.....
무적엘지 25년 V4 가즈아!!!!
상대가 롯데라서 함부로 평가하긴 어렵겠지만 수비. 공격 모두 우승에 가까운 모습이였다. 올해 !~ 엘지팬으로서 즐겁겠다!~
수비 왤케 잘 하냐… 더 잘하는 거 같애 너무 사랑해😍😍
치리노스 몸쪽으로 말리면서 들어가는 공 겁나 좋던데?
치리노스 뽈 지기네... 150에 제구되는 무브먼트가 저딴식이면 어째치노리스
박해민과 김현수만 잘해주면 될듯
김진성선수 너무 고마워요 오늘 올라왔을때 현장에서 다들 너무너무 든든해했어요 오래오래 행복야구 건강야구하셔요 ❤❤❤
문성주 선수 어디 다친거 아니겠죠?
찬의야 올해는 진짜 보여주자!
장차 김현수 선수의 자리를 대신할 송찬의 선수가 되었음 좋겠네요
포에버 엘지....엄청나게 감동입니다..
썸매일에 스코워좀 안써주시면 안되요? 결과를 알고보니 ㅠㅠ ㅋㅋ😂
13:36 참치 희플 때 열심히 뛰는 거 왤케 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
매일 오늘만 같아라. 무적엘지 화이팅!!
다들 한자리 차지하기 위해 눈에 불을키고 열심히 하는거 같네요. 정말 팀이 건강해 보임 ㅎㅎ
"에헤라디야~~~!!! 이겼다 또 이겼다~~~!!! 크흐흐흐흐...
오늘 직관하신 분들은 행복 만땅이었겠어요?!
티비 중계로 봤어도 완전 행복했으니까요... 으흐흐흐...
신민재 선수가 선발이 아니어서 살짝 아쉬웠으나
후반부에 나와서 안타도 치고 수비도 잘하고...
오늘 우리 선수들 정말 열심히 치고 달리고 하는
모습을 보니 정말 즐겁고 행복했어라~~~
박동원 선수 오늘 너무 열심히 뛰어서 내일 힘들까
염려되지만 이제 시즌 시작이니까 괜찮겠죠?!
오늘 혹시나 채이 직관 왔을까 티비 카메라에 잡힐까
뚫어지게 본다고 봤는데 안 나온 것 같아요...
개막전부터 채이 보면 완전 더 기뻤을 것 같은데... 흐흐흐...
오늘 우리 선수들 스태프분들 그리고 수고했을
우리 엘튜브 모두 수고하셨고, 축하하고, 고맙습니다...
엘지트윈스여~~~ 영원하라!!! 사랑한다 엘지트윈스!!!"
찬희가 드디어 꽃을 피우는구나
10:35 Chill guy
문보물! ㅋㅋㅋ
멋진 플레이! 멋진 승리!!   공수 너무 멋집니다. 올해 쭉 가봅시다~~~!!!
