comment
몇번을 봐도 짜릿하네...🥹
랜더스를 정말 너무 사랑해요
두번째경기도 똥꾸멍 대주는거냐
두경기 잘하고 한경기는 겔겔 거리네
오늘 져준거냐 드럽게 못하는 티가 나네
혹시 이번시즌은 개막전 연안부두 떼창 안올려주시나요
송중기 당신은 이제 오태곤 한테 안돼
정준재? 김성현 나오는 거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ마술인가 했음
랜더스 ❤❤❤❤
역시 범두킬러 오태곤
오태곤 재계약은 진짜 신의 한 수 였다
개막전 직관 승리를 안겨주셔서 넘넘 고맙습니다 ♡ 목이 다 쉬었어요~ 울 선수들 올시즌 다치지 말고 화이팅하세요!! 어제 울뻔 했습니다~!
오태곤 쇼헤이 미쳤다
솔직히 김민 작년까지 kt에 있으면서 우리 상대로 올라올 때 알게모르게 잘해서 한편으론 무섭기도 했는데 우리팀에서 이렇게 던지니까 너무 든든함ㅋㅋㅋㅋ 그리고 오태곤은 진짜...🤩🤩🤩🤩🤩🤩🤩🤩
기대를 안해야 홈런치는 그 선수ㅋㅋㅋㅋ
역시 ssg는 두산 정도는 가볍게 발라버린다니까🤗
봤지만 또 보기.
"13:51 정준재(?) 한참을 기다렸다가 잡아냅니다
김성현 : ??"
작년 7월 31일 롯데전... 준재 기죽어있을 때 끝내기 홈런쳐준 오태곤... 그리고 오늘... 준재 실책하고 기죽어있을 때 다시한번 홈런쳐주는 오태곤...후배사랑 오태곤❤
로운이 올시즌 폼 뭐냐 사랑해 로운아
결승역전투런 여러번 본거같네 진짜
직관 못 가서 아쉅다😭
나 진짜 좋아 죽어~~~~~~~~~~~
수비제발..
"솔직히 올해 하위권 예상하며 크게 기대 안했다.
딱 정준재, 박지환, 이율예 무럭무럭 크는 한 해가 되길 바랬는데.. 이걸 이기네"
이겨서 좋긴한데 최지훈은 진짜 변함이 없네 리드오프면 리드오프답게 좀 하자..
송중기보다 오태곤이다 반박 안 받는다
13:07 고쳐진 오태곤~ 오오오오오오오~
"오태곤이 돌아왔구나
반갑다"
고장난 오태곤~ 오오오오오오~ 고장난 오태곤~~
144승 페이스
"731대첩 역전 투런 
915 연타석 홈런
322 대타 역전 투런 <<new!!"
"직관.승리잼
박성한 선수 공에 맞고 아파서 한참 있는데
비디오판독?????
아...사람으로 싫더라"
오태곤은 그냥 투런의 신임ㅋㅋ
이겨서좋긴한데 앤더슨 어디 안좋은가요? 너무 빨리 강판되서 ㅠㅠ그리고 투구수도 너무 많고ㅠㅠ 박성한 선수는 괜찮으신거겠죠ㅠㅠ 부상안되옵니다
우리 랜더스 하위권 예상한 자칭 전문가들 대가리 박자 ....
"작전명 ""오태곤"""
고쳤다 오태곤~ 오~~~
대타의 신 오태곤
진짜 김민 뭐야... 너무... 든든해😭 무조건 막을거 같아.. 너무.. 좋아❤ 화이팅!!!
인천 송중기😏
오태식  끝내준다  ㅎㅎ  최고
오늘은 오태곤이 최정같았다
도파민터졌다ㅠㅠ❤
"오태곤과 프리먼,스탠튼,오타니,애런저지,무키베츠,후안소토,바윗주,아쿠냐주니어는 취향차이"
