"국가별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월",
"타지키스탄","예금금리","","5.5771","4.05887","3.06513","5.71883","3.86163","3.01651","3.65448","3.2415","4.89457","3.66447","3.3435","1.94878","3.25764","4.66203","5.72356","5.45283","4.19845","5.42758","6.19106","5.2858","5.50389","6.36259","6.56903","3.46773",".88663","2.01204","3.70446","3.54303","2.40511","2.30571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"타지키스탄","외환예금금리","","2.47","2.27","3.15","3.46359","2.16427","1.77484","3.4013","1.49529","2.5149","1.82568","2.19308","1.33565","1.11379","1.60083","1.67242","2.09551","1.95942","2.71359","2.64227","1.97355","3.6828","4.2235","4.51621","4.14494",".91549","1.02322","1.20266","2.00294","1.69257","1.36688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"타지키스탄","대출금리","","27.59","27.31","30.51","30.51787","30.49037","28.94598","30.208","26.85362","25.76839","26.71887","20.8414","20.51106","26.04828","25.86915","24.98698","25.3886","25.37143","13.77446","20.26878","24.4916","22.89651","25.82953","24.11308","23.55809","24.39909","24.03404","23.89561","23.12246","22.94783","22.64341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"타지키스탄","외환대출금리","","17.57","17.75","17.36","17.0006","16.07005","15.87989","17.51072","18.69123","13.74417","19.2612","16.43357","16.52637","15.87072","15.68057","15.65581","15.3732","15.15741","15.475","15.28884","15.21348","15.56951","26.87893","26.75859","25.58538","26.15025","24.64117","23.78976","23.52315","23.59549","24.3104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"태국","중앙은행 정책 금리","","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.5","1.5","1.5","1.25","1.25","1.25","1",".75",".75",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".75","1","1","1.25","1.25","1.5","1.5","1.75","1.75","1.75","2","2","2.25","2.5","2.5","2.5","2.5",
"태국","할인율","","2","2","2","2","2","2","2","2","2","2","2","2.25","2.25","2.25","2.25","2.25","2.25","2.25","2.25","2","2","2","1.75","1.75","1.75","1.5","1.25","1.25","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.25","1.5","1.5","1.75","1.75","2","2","2.25","2.25","2.5","2.5","2.5","2.75","3","3","3","3",
"태국","시장금리","","1.45","1.45","1.45","1.45","1.45","1.45","1.45","1.45","1.45","1.45","1.45","1.57","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.51","1.45","1.45","1.24","1.19","1.2",".98",".87",".7",".58",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".46",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".45",".61",".74",".95",".97","1.2","1.26","1.45","1.49","1.7","1.72","1.95","1.95","2.2","2.23","2.45","2.45","2.45",
"태국","초단기 국채율","","1.17","1.19","1.16","1.17","1.29","1.28","1.33","1.3","1.3","1.46","1.49","1.51","1.59","1.67","1.68","1.69","1.7","1.71","1.71","1.53","1.42","1.42","1.31","1.21","1.11","1",".88",".62",".45",".45",".45",".47",".48",".49",".48",".36",".3",".37",".43",".32",".35",".45",".4",".4",".44",".5",".5",".48",".47",".47",".47",".5",".5",".56",".6",".66",".72",".98",".99","1.07",".98","1.49","1.49","1.54","1.75","1.89","1.9","1.99","1.9","2.32","2.14","2.08178",
"태국","저축율","",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".63",".5",".5",".5",".3",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".25",".45",".45",".45",".45",".5",".5",".5",".55",".55",".55",".55",".55",".55",".55",".55",".55",
"태국","예금금리","","1.28","1.29","1.29","1.29","1.28","1.28","1.29","1.29","1.29","1.29","1.29","1.29","1.4","1.41","1.41","1.41","1.4","1.44","1.44","1.45","1.45","1.45","1.4","1.34","1.31",".96",".74",".74",".53",".48",".46",".46",".45",".45",".44",".44",".48",".47",".43",".42",".41",".4",".39",".38",".38",".37",".37",".37",".42",".42",".42",".42",".42",".42",".42",".42",".47",".68",".69",".92","1.01","1.07","1.1","1.26","1.27","1.4","1.4","1.49","1.47","1.67","1.67","1.68",
"태국","대출금리","","4.29","4.14","4.16","4.14","4.12","4.13","4.12","4.13","4.13","4.13","4.14","4.13","4.15","4.16","4.15","4.15","4.15","4.13","4.11","4.07","4.05","4.03","3.96","3.9","3.8","3.7","3.56","3.31","3.21","3.2","3.13","3.13","3.14","3.14","3.12","3.07","3.07","3.07","3.07","3.1","3.06","3.06","3.07","3.06","3.04","3.04","3.05","3.03","3.04","3.03","3.02","3.02","3.02","3.04","3.04","3.09","3.17","3.3","3.36","3.53","3.79","3.85","3.9","4.03","4.07","4.25","4.3","5.2","4.42","4.52","4.55","4.55",
"태국","정부채","","2.49","2.55","2.56","2.58","2.76","2.8","2.76","2.73","2.81","2.85","2.77","2.59","2.48","2.49","2.55","2.54","2.52","2.23","2","1.56","1.54","1.52","1.66","1.56","1.4","1.17","1.29","1.39","1.17","1.31","1.33","1.36","1.42","1.4","1.41","1.33","1.33","1.45","1.93","1.89","1.8","1.83","1.67","1.56","1.73","1.96","1.94","1.92","2.12","2.19","2.31","2.66","3.16","2.98","2.67","2.52","2.95","3.21","2.89","2.62","2.47","2.54","2.44","2.5","2.53","2.58","2.58","2.7","3.04","3.32","3.1","2.81",
"동티모르","저축율","",".42",".42",".41",".4",".4",".4",".40287",".45065",".44132",".43161",".4262",".4837",".45218",".44338",".44299",".43681",".44047",".44516",".47603",".45359",".44024",".71502",".44744",".4686",".44337",".44199",".44658",".45525",".45373",".45368",".48798",".42743",".42361",".42098",".42681",".4641",".41767",".43042",".43",".4317",".4317",".46455",".45005",".44359",".44624",".44304",".47452",".47584",".45114",".4509",".45",".45628",".45321",".45675",".48417",".46425",".46334",".46334",".46486",".52237",".49216",".47758",".47499",".47066",".47469",".47516",".47954",".50912",".4956",".50912",".51042",".49636",
