청크번호: 21 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: (3) 고속도로통행료단말기 : 고속도로 통행료 등의 지급을 위해 고속도로 요금소와 통행료 등에 관한 정보를 주고받는 송수신장치(예 : 하이패스 단말기)

청크번호: 22 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 7. 운전(조종): 「도로교통법」상 도로{도로교통법 제44조(술에 취한 상태에서의 운전금지)·제45조(과로한 때의 운전 금지)·제54조(사고발생 시 조치) 제1항·제148조(벌칙) 및 제148조의2(벌칙)의 경우에는 도로 외의 곳을 포함}에서 자동차 또는 건설기계를 그 본래의 사용방법에 따라 사용하는 것을 말합니다.

청크번호: 23 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 8. 운행: 사람 또는 물건의 운송 여부와 관계없이 자동차를 그 용법에 따라 사용하거나 관리하는 것을 말합니다(「자동차손해배상보장법」 제2조 제2호)

청크번호: 24 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 9. 음주운전(조종): 「도로교통법」에 정한 술에 취한 상태에서 운전(조종)하거나 음주측정에 불응하는 행위를 말합니다.

청크번호: 25 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 10. 의무보험: 「자동차손해배상보장법」 제5조에 따라 자동차보유자가 의무적으로 가입하는 보험을 말합니다.

청크번호: 26 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 11. 자동차보유자: 자동차의 소유자나 자동차를 사용할 권리가 있는 자로서 자기를 위하여 자동차를 운행하는 자를 말합니다(「자동차손해배상보장법」 제2조 제3호)

청크번호: 27 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 12. 자동차 취급업자: 자동차정비업, 대리운전업, 주차장업, 급유업, 세차업, 자동차판매업, 자동차탁송업 등 자동차를 취급하는 것을 업으로 하는 자(이들의 피용자 및 이들이 법인인 경우에는 그 이사와 감사를 포함)를 말합니다.

청크번호: 28 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 13. 피보험자: 보험회사에 보상을 청구할 수 있는 자로서 다음 중 어느 하나에 해당하는 자를 말하며, 구체적인 피보험자의 범위는 각각의 보장종목에서 정하는 바에 따릅니다.

청크번호: 29 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 기명피보험자: 피보험자동차를 소유ᆞ사용ᆞ관리하는 자 중에서 보험계약자가 지정하여 보험증권의 기명피보험자란에 기재되어 있는 피보험자를 말합니다.

청크번호: 30 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 나. 친족피보험자: 기명피보험자와 같이 살거나 살림을 같이 하는 친족으로서 피보험자동차를 사용하거나 관리하고 있는 자를 말합니다.

청크번호: 31 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 다. 승낙피보험자: 기명피보험자의 승낙을 얻어 피보험자동차를 사용하거나 관리하고 있는 자를 말합니다.

청크번호: 32 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 라. 사용피보험자: 기명피보험자의 사용자 또는 계약에 따라 기명피보험자의 사용자에 준하는 지위를 얻은 자. 다만, 기명피보험자가 피보험자동차를 사용자의 업무에 사용하고 있는 때에 한합니다.

청크번호: 33 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 마. 운전피보험자: 다른 피보험자(기명피보험자, 친족피보험자, 승낙피보험자, 사용피보험자를 말함)를 위하여 피보험자동차를 운전 중인 자(운전보조자를 포함)를 말합니다.

청크번호: 34 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 14. 피보험자동차: 보험증권에 기재된 자동차를 말합니다.

청크번호: 35 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 15. 피보험자의 부모, 배우자, 자녀

청크번호: 36 | 약관연도: 2023 | 문서: 자동차보험 표준약관 | 위치: 자동차보험 표준약관 | 조항: 제1조(용어의 정의) | 내용: 가. 피보험자의 부모: 피보험자의 부모, 양부모를 말합니다.

